"Token Value","Attribute Name","Attribute Setting","Description","Spec","Request"
"0000","Start of Table",,"Start-of-table indicator.",,
"0001","ACPI Mode","Enable","Enable the system to operate in ACPI mode",,
"0002","ACPI Mode","Disable","Disable the system???s ACPI mode. The system then operates in ???legacy??? mode.",,
"0003","IDE","Auto","Enable the auto-configuration of the system???s built-in IDE controller.",,
"0004","IDE","Off","Disable the system???s built-in IDE controller, making IRQ14 and IRQ15 resources available.",,
"0005","Serial Port 1","COM2","Configure the system???s first/only built-in serial port to respond as COM2.",,
"0006","Serial Port 1","COM4","Configure the system???s first/only built-in serial port to respond as COM4.",,
"0007","Parallel Port","Disable","Disable the system???s built-in parallel port",,
"0008","Parallel Port","LPT1","Enables the system???s built-in parallel port to operate in LPT1 mode, using I/O address 378.",,
"0009","Parallel Port","LPT2","Enables the system???s built-in parallel port to operate in LPT2 mode, using I/O address 278.",,
"000A","Parallel Port","LPT3","Enables the system???s built-in parallel port to operate in LPT3 mode, using I/O address 3BC.",,
"000B","Parallel Port Mode","AT","Enables the system???s built-in parallel port to operate in AT mode (output-only).",,
"000C","Parallel Port Mode","PS/2","Enables the system???s built-in parallel port to operate in PS/2 mode (bi-directional).",,
"000D","Parallel Port Mode","ECP, No DMA","Enables the system???s built-in parallel port to operate in ECP mode, no DMA channel assigned (see 00A6h & 00A7h to assign DMA channels).",,
"000E","Parallel Port Mode","EPP","Enables the system???s built-in parallel port to operate in EPP mode (not valid at address LPT3, 3BC).",,
"000F","Serial Port 1","Disable","Disable the system???s first (or only) built-in serial port.",,
"0010","Serial Port 1","Auto","Enable the auto-configuration of the system???s first/only built-in serial port.",,
"0011","Serial Port 1","COM1","Configure the system???s first/only built-in serial port to respond as COM1",,
"0012","Serial Port 1","COM3","Configure the system???s first/only built-in serial port to respond as COM3",,
"0013","Serial Port 2","Disable","Disable the system???s second built-in serial port",,
"0014","Serial Port 2","Auto","Enable the auto-configuration of the system???s second built-in serial port",,
"0015","Serial Port 2","COM2","Configure the system???s second built-in serial port to respond as COM2",,
"0016","Serial Port 2","COM4","Configure the system???s second built-in serial port to respond as COM4",,
"0017","Floppy-A","Top","Sets the system???s ???first??? floppy drive to be the topmost one.",,
"0018","Floppy-A","Bottom","Sets the system???s ???first??? floppy drive to be the bottom one.",,
"0019","Built-in Floppy","Disable","Disables the system???s built-in floppy controller",,
"001A","Built-in Floppy","Auto","Enables the auto-configuration of the system???s built-in floppy controller",,
